Cycle,Joystick1/Buttons[0],Joystick1/Buttons[1],Joystick1/Buttons[2],Joystick1/Buttons[3],Joystick1/Buttons[4],Joystick1/Buttons[5],Joystick1/Buttons[6],Joystick1/Buttons[7],Joystick1/Buttons[8],Joystick1/Buttons[9],Joystick1/Buttons[10],Joystick1/Buttons[11],Joystick1/Axes[0],Joystick1/Axes[1],Joystick1/Axes[2],Joystick1/Axes[3],Joystick1/Axes[4],Joystick1/Axes[5],Joystick2/Buttons[0],Joystick2/Buttons[1],Joystick2/Buttons[2],Joystick2/Buttons[3],Joystick2/Buttons[4],Joystick2/Buttons[5],Joystick2/Buttons[6],Joystick2/Buttons[7],Joystick2/Buttons[8],Joystick2/Buttons[9],Joystick2/Buttons[10],Joystick2/Buttons[11],Joystick2/Axes[0],Joystick2/Axes[1],Joystick2/Axes[2],Joystick2/Axes[3],Joystick2/Axes[4],Joystick2/Axes[5],Joystick3/Buttons[0],Joystick3/Buttons[1],Joystick3/Buttons[2],Joystick3/Buttons[3],Joystick3/Buttons[4],Joystick3/Buttons[5],Joystick3/Buttons[6],Joystick3/Buttons[7],Joystick3/Buttons[8],Joystick3/Buttons[9],Joystick3/Buttons[10],Joystick3/Axes[0],Joystick3/Axes[1],Joystick3/Axes[2],DrivetrainData/ControlModes,DrivetrainData/OpenLoopOutputs,DrivetrainData/DesiredRates,DrivetrainData/PositionSetpoints,DrivetrainData/MaxSpeeds,DrivetrainData/PositionStartLocations,DrivetrainData/ZeroHeading,DrivetrainData/PositionSetpointChanged,DrivetrainData/SyncArc,DrivetrainData/OverrideForwardCurrentLimit,DrivetrainData/OverrideReverseCurrentLimit,DrivetrainData/ForwardCurrentLimit,DrivetrainData/ReverseCurrentLimit,Climb/State,PneumaticsAngle/State,PneumaticsCollector/State
0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0390625,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
1,0,0,0,0,0,0,0,0,0,0,0,0,-0.0390625,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
2,0,0,0,0,0,0,0,0,0,0,0,0,-0.0390625,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
3,0,0,0,0,0,0,0,0,0,0,0,0,-0.0390625,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
4,0,0,0,0,0,0,0,0,0,0,0,0,-0.0390625,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
5,0,0,0,0,0,0,0,0,0,0,0,0,-0.0390625,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
6,0,0,0,0,0,0,0,0,0,0,0,0,-0.0390625,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
7,0,0,0,0,0,0,0,0,0,0,0,0,-0.0390625,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
8,0,0,0,0,0,0,0,0,0,0,0,0,-0.0390625,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
9,0,0,0,0,0,0,0,0,0,0,0,0,-0.0390625,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
